    Time (min)     P1 (mbar)     P2 (mbar)     Temp. (C)
       0.0315         25.97         22.07         24.99
       0.1138         31.98         21.06         24.98
       0.1974         16.94         25.07         24.97
       0.2810         30.98         15.05         24.96
       0.3646         22.96         17.06         24.98
       0.4482         27.97         20.06         24.99
       0.5315         21.95         26.07         25.01
       0.6148         20.95         19.06         24.96
       0.6982         31.98         19.06         25.00
       0.7815         19.95         23.07         25.03
       0.8638         19.95         29.08         24.96
       0.9474         30.98         27.08         24.95
       1.0312         31.98         17.06         24.94
       1.1148         15.94         29.08         24.92
       1.1971         25.97         14.05         24.96
       1.2810         26.97         30.08         24.95
       1.3646         26.97         27.08         24.96
       1.4482         27.97         29.08         24.96
       1.5305         23.96         27.08         24.98
       1.6141         26.97         22.07         24.98
       1.6982         36.00         30.08         25.01
       1.7815         31.98         28.08         24.96
       1.8641         31.98         19.06         24.98
       1.9476         25.97         29.08         24.93
       2.0312         20.95         31.08         24.95
       2.1148         30.98         30.08         24.98
       2.1979         30.98         33.09         24.97
       2.2807         28.98         28.08         25.03
       2.3646         24.96         16.05         25.01
       2.4479         23.96         30.08         24.99
       2.5312         25.97         19.06         25.01
       2.6148         30.98         32.09         25.01
       2.6976         27.97         27.08         24.96
       2.7812         25.97         23.07         24.91
       2.8638         19.95         34.09         24.89
       2.9474         25.97         29.08         24.89
       3.0312         24.96         30.08         24.85
       3.1138         30.98         26.07         24.87
       3.1974         29.98         28.08         24.91
       3.2810         28.98         27.08         24.89
       3.3646         28.98         28.08         24.87
       3.4482         27.97         23.07         24.91
       3.5305         31.98         30.08         24.95
       3.6141         30.98         29.08         24.92
       3.6976         30.98         23.07         24.90
       3.7812         31.98         25.07         24.96
       3.8638         34.99         32.09         24.97
       3.9474         26.97         30.08         24.91
       4.0310         25.97         26.07         24.95
       4.1146         30.98         34.09         24.96
       4.1982         27.97         27.08         24.98
       4.2805         31.98         36.09         24.98
       4.3641         29.98         27.08         25.01
       4.4476         41.01         29.08         25.03
       4.5305         31.98         28.08         24.95
       4.6141         37.00         29.08         24.91
       4.6976         31.98         29.08         24.97
       4.7812         40.01         28.08         24.93
       4.8648         34.99         28.08         24.94
       4.9471         38.00         23.07         24.98
       5.0310         31.98         27.08         24.97
       5.1146         30.98         33.09         24.96
       5.1982         34.99         28.08         24.97
       5.2805         30.98         28.08         24.97
       5.3641         23.96         34.09         24.97
       5.4482         31.98         30.08         25.00
       5.5310         27.97         23.07         24.99
       5.6146         34.99         32.09         24.96
       5.6982         43.02         22.07         24.93
       5.7807         25.97         25.07         24.98
       5.8641         28.98         33.09         25.01
       5.9482         31.98         31.08         24.97
       6.0305         36.00         36.09         24.95
       6.1141         31.98         25.07         24.94
       6.1976         30.98         24.07         24.95
       6.2812         31.98         27.08         24.96
       6.3648         39.01         38.10         24.96
       6.4471         42.01         34.09         24.97
       6.5307         38.00         34.09         24.95
       6.6143         38.00         32.09         24.96
       6.6979         41.01         34.09         24.97
       6.7815         26.97         28.08         24.94
       6.8638         31.98         30.08         24.96
       6.9474         30.98         25.07         24.97
       7.0310         40.01         33.09         24.97
       7.1143         49.04         33.09         25.06
       7.1979         39.01         29.08         25.04
       7.2812         31.98         33.09         24.98
       7.3648         30.98         34.09         24.96
       7.4476         30.98         23.07         24.95
       7.5312         30.98         34.09         24.96
       7.6148         45.02         38.10         24.91
       7.6971         37.00         19.06         24.99
       7.7810         48.03         33.09         24.97
       7.8646         32.99         29.08         24.95
       7.9482         30.98         43.11         24.95
       8.0305         42.01         39.10         24.95
       8.1141         33.99         33.09         24.96
       8.1976         34.99         41.10         24.97
       8.2812         37.00         34.09         24.95
       8.3641         41.01         34.09         25.01
       8.4474         34.99         40.10         24.97
       8.5312         39.01         32.09         24.98
       8.6146         39.01         44.11         25.05
       8.6974         41.01         34.09         24.99
       8.7810         51.04         41.10         24.96
       8.8648         31.98         38.10         24.94
       8.9471         30.98         35.09         24.94
       9.0307         31.98         36.09         24.96
       9.1143         30.98         48.12         24.97
       9.1979         49.04         44.11         24.97
       9.2818         40.01         41.10         24.97
       9.3641         39.01         40.10         24.92
       9.4476         30.98         42.11         24.94
       9.5312         39.01         29.08         24.97
       9.6138         38.00         23.07         24.97
       9.6974         38.00         40.10         24.97
       9.7810         38.00         27.08         25.01
       9.8646         41.01         40.10         25.00
       9.9479         46.03         42.11         24.96
      10.0315         36.00         33.09         24.93
      10.1138         38.00         46.11         24.91
      10.1974         34.99         40.10         24.94
      10.2810         44.02         33.09         24.94
      10.3646         48.03         41.10         24.92
      10.4484         47.03         36.09         24.93
      10.5307         38.00         43.11         24.96
      10.6146         45.02         41.10         24.97
      10.6982         43.02         43.11         24.97
      10.7805         46.03         45.11         24.97
      10.8641         36.00         43.11         24.99
      10.9479         38.00         37.10         24.98
      11.0315         38.00         43.11         24.96
      11.1141         48.03         33.09         24.97
      11.1976         41.01         41.10         24.99
      11.2810         46.03         44.11         25.03
      11.3646         41.01         42.11         24.98
      11.4479         41.01         35.09         25.04
      11.5312         40.01         40.10         24.96
      11.6141         39.01         34.09         24.94
      11.6976         49.04         42.11         24.93
      11.7812         49.04         33.09         24.90
      11.8648         38.00         35.09         24.95
      11.9471         49.04         41.10         24.95
      12.0307         51.04         36.09         24.95
      12.1138         39.01         43.11         24.98
      12.1974         44.02         47.12         24.96
      12.2810         43.02         30.08         24.95
      12.3646         45.02         34.09         24.96
      12.4471         94.17         40.10         24.97
      12.5307        215.53         41.10         24.99
      12.6141        269.70         36.09         25.01
      12.6979        276.72         47.12         24.97
      12.7815        278.72         34.09         24.94
      12.8638        283.74         43.11         24.97
      12.9474        281.73         48.12         24.99
      13.0310        283.74         37.10         24.97
      13.1146        284.74         34.09         24.97
      13.1982        286.75         36.09         24.96
      13.2805        278.72         33.09         24.96
      13.3641        276.72         41.10         24.95
      13.4476        275.71         39.10         25.01
      13.5307        288.75         32.09         24.96
      13.6146        273.71         42.11         24.95
      13.6982        285.74         41.10         24.98
      13.7815        277.72         39.10         25.00
      13.8648        283.74         43.11         24.98
      13.9482        281.73         36.09         25.05
      14.0307        281.73         42.11         25.01
      14.1146        285.74         41.10         24.94
      14.1982        286.75         34.09         24.95
      14.2810        291.76         39.10         24.98
      14.3646        281.73         41.10         24.97
      14.4482        285.74         38.10         24.96
      14.5315        278.72         34.09         25.01
      14.6148        279.73         44.11         24.97
      14.6971        288.75         43.11         24.96
      14.7807        283.74         49.12         24.97
      14.8641        281.73         42.11         25.01
      14.9476        277.72         40.10         24.97
      15.0307        290.76         47.12         24.96
      15.1143        286.75         34.09         24.93
      15.1979        281.73         33.09         24.93
      15.2815        286.75         46.11         24.97
      15.3638        274.71         46.11         24.97
      15.4474        281.73         33.09         24.96
      15.5310        279.73         37.10         24.98
      15.6146        280.73         45.11         24.97
      15.6982        276.72         38.10         24.97
      15.7805        284.74         44.11         24.96
      15.8641        278.72         42.11         24.99
      15.9482        287.75         48.12         25.01
      16.0310        282.73         37.10         24.98
      16.1146        279.73         50.12         24.98
      16.1971        295.77         34.09         24.99
      16.2815        285.74         46.11         24.97
      16.3638        279.73         38.10         24.91
      16.4476        276.72         46.11         24.91
      16.5312        291.76         40.10         24.93
      16.6148        278.72         48.12         24.90
      16.6971        285.74         38.10         24.94
      16.7807        285.74         35.09         24.94
      16.8643        281.73         43.11         24.96
      16.9479        282.73         37.10         24.98
      17.0312        274.71         42.11         25.02
      17.1146        286.75         34.09         24.97
      17.1982        280.73         30.08         24.97
      17.2805        267.69         37.10         24.96
      17.3641        292.76         35.09         24.99
      17.4476        286.75         37.10         25.02
      17.5310        286.75         38.10         24.96
      17.6146        283.74         33.09         24.94
      17.6982        291.76         34.09         24.94
      17.7805        283.74         43.11         24.95
      17.8641        288.75         41.10         24.98
      17.9479        286.75         40.10         24.97
      18.0312        279.73         39.10         25.03
      18.1146        286.75         33.09         24.96
      18.1982        277.72         40.10         24.94
      18.2805        274.71         42.11         24.97
      18.3641        283.74         38.10         24.94
      18.4476        283.74         34.09         24.94
      18.5312        286.75         48.12         24.96
      18.6148        286.75         34.09         24.94
      18.6971        279.73         40.10         24.96
      18.7807        286.75         34.09         24.91
      18.8643        278.72         35.09         24.96
      18.9479        290.76         37.10         24.98
      19.0315        288.75         48.12         24.97
      19.1138        285.74         44.11         24.98
      19.1974        283.74         34.09         24.97
      19.2812        286.75         28.08         24.96
      19.3648        281.73         44.11         24.99
      19.4482        284.74         40.10         25.03
      19.5312        280.73         41.10         25.00
      19.6146        274.71         41.10         24.97
      19.6971        274.71         40.10         24.96
      19.7807        292.76         35.09         24.97
      19.8646        282.73         42.11         24.97
      19.9482        281.73         38.10         24.96
      20.0305        292.76         43.11         24.96
      20.1141        269.70         43.11         24.97
      20.1976        281.73         41.10         24.96
      20.2812        279.73         38.10         24.94
      20.3648        279.73         37.10         24.97
      20.4471        284.74         33.09         24.97
      20.5305        273.71         45.11         25.03
      20.6141        281.73         35.09         25.04
      20.6976        283.74         43.11         24.97
      20.7805        275.71         48.12         24.96
      20.8641        283.74         38.10         24.94
      20.9476        281.73         34.09         24.93
      21.0312        284.74         32.09         24.93
      21.1148        286.75         39.10         24.91
      21.1971        286.75         40.10         24.92
      21.2810        281.73         47.12         24.92
      21.3646        292.76         41.10         24.89
      21.4482        277.72         42.11         24.97
      21.5305        279.73         48.12         24.96
      21.6141        278.72         43.11         24.96
      21.6976        274.71         48.12         24.96
      21.7812        276.72         34.09         24.97
      21.8643        282.73         49.12         24.97
      21.9476        279.73         40.10         25.01
      22.0312        285.74         33.09         24.99
      22.1148        281.73         30.08         24.93
      22.1974        280.73         48.12         24.91
      22.2810        278.72         45.11         24.94
      22.3646        279.73         41.10         24.92
      22.4482        279.73         48.12         24.94
      22.5305        275.71         45.11         24.92
      22.6141        286.75         51.12         24.95
      22.6976        276.72         33.09         24.97
      22.7815        280.73         47.12         24.98
      22.8638        287.75         39.10         24.94
      22.9474        277.72         37.10         24.99
      23.0310        278.72         39.10         25.01
      23.1138        281.73         34.09         24.96
      23.1971        283.74         34.09         25.01
      23.2805        283.74         41.10         24.97
      23.3641        275.71         41.10         24.99
      23.4471        286.75         41.10         24.99
      23.5307        288.75         38.10         24.98
      23.6148        281.73         44.11         25.01
      23.6976        280.73         38.10         24.98
      23.7812        279.73         34.09         24.99
      23.8646        271.70         33.09         25.03
      23.9479        281.73         39.10         24.96
      24.0315        285.74         42.11         24.93
      24.1138        284.74         45.11         24.93
      24.1974        286.75         39.10         24.93
      24.2810        283.74         34.09         24.94
      24.3648        284.74         33.09         24.97
      24.4471        290.76         34.09         24.99
      24.5305        283.74         34.09         24.97
      24.6143        285.74         39.10         24.98
      24.6979        288.75         47.12         24.95
      24.7815        286.75         34.09         24.95
      24.8638        275.71         41.10         24.98
      24.9476        286.75         40.10         24.96
      25.0312        278.72         34.09         25.01
      25.1146        279.73         46.11         24.99
      25.1982        289.76         46.11         25.01
      25.2810        276.72         41.10         24.97
      25.3646        281.73         42.11         24.97
      25.4482        286.75         52.13         24.91
      25.5305        284.74         34.09         24.96
      25.6141        284.74         43.11         24.97
      25.6976        280.73         38.10         24.99
      25.7812        281.73         43.11         24.97
      25.8648        288.75         34.09         24.99
      25.9474        283.74         42.11         24.98
      26.0310        276.72         48.12         25.01
      26.1146        283.74         41.10         24.96
      26.1982        279.73         45.11         24.96
      26.2805        276.72         39.10         24.97
      26.3638        287.75         37.10         25.01
      26.4471        284.74         37.10         24.96
      26.5318        286.75         36.09         25.01
      26.6138        282.73         37.10         24.96
      26.6976        281.73         48.12         25.01
      26.7810        281.73         34.09         24.97
      26.8646        286.75         33.09         25.01
      26.9479        281.73         47.12         24.96
      27.0305        278.72         42.11         24.95
      27.1143        295.77         39.10         24.94
      27.1982        288.75         47.12         24.92
      27.2805        285.74         31.08         24.94
      27.3641        293.77         41.10         24.96
      27.4476        281.73         40.10         24.97
      27.5312        285.74         46.11         24.96
      27.6141        280.73         46.11         24.94
      27.6976        287.75         47.12         24.96
      27.7810        283.74         51.12         25.00
      27.8643        279.73         48.12         24.99
      27.9471        277.72         45.11         25.01
      28.0305        286.75         44.11         24.97
      28.1141        282.73         39.10         24.97
      28.1976        276.72         42.11         24.94
      28.2812        286.75         40.10         24.94
      28.3648        284.74         34.09         24.97
      28.4471        281.73         38.10         24.97
      28.5307        286.75         42.11         24.98
      28.6138        282.73         48.12         24.99
      28.6974        284.74         41.10         24.98
      28.7810        278.72         60.14         24.97
      28.8643        282.73         52.13         25.01
      28.9476        283.74         51.12         24.99
      29.0305        286.75         47.12         25.02
      29.1146        285.74         46.11         24.95
      29.1982        281.73         44.11         24.94
      29.2805        277.72         46.11         24.98
      29.3641        286.75         48.12         24.94
      29.4474        276.72         37.10         25.02
      29.5312        275.71         49.12         24.97
      29.6148        274.71         33.09         24.92
      29.6971        281.73         44.11         24.89
      29.7807        280.73         41.10         24.94
      29.8646        280.73         39.10         24.94
      29.9482        283.74         51.12         24.95
      30.0305        281.73         47.12         24.94
      30.1141        281.73         41.10         24.99
      30.1974        281.73         34.09         25.01
      30.2807        278.72         44.11         24.96
      30.3643        285.74         48.12         24.94
      30.4479        286.75         49.12         24.92
      30.5315        281.73         43.11         24.99
      30.6138        285.74         45.11         24.97
      30.6974        276.72         39.10         24.95
      30.7810        284.74         34.09         24.95
      30.8646        281.73         44.11         24.97
      30.9474        283.74         40.10         25.00
      31.0307        288.75         45.11         25.01
      31.1143        286.75         35.09         24.97
      31.1979        286.75         47.12         24.96
      31.2815        284.74         52.13         24.96
      31.3638        272.70         45.11         24.95
      31.4474        291.76         47.12         24.96
      31.5310        286.75         46.11         24.99
      31.6141        286.75         45.11         24.93
      31.6979        283.74         53.13         24.96
      31.7815        272.70         47.12         24.95
      31.8638        277.72         45.11         24.96
      31.9474        284.74         45.11         24.96
      32.0307        281.73         52.13         25.01
      32.1143        280.73         49.12         25.01
      32.1976        275.71         54.13         24.98
      32.2812        288.75         45.11         24.97
      32.3648        280.73         40.10         24.96
      32.4471        276.72         44.11         24.95
      32.5310        284.74         53.13         24.95
      32.6146        293.77         44.11         24.95
      32.6982        290.76         44.11         24.97
      32.7805        290.76         42.11         24.97
      32.8638        296.78         48.12         25.03
      32.9471        279.73         49.12         24.97
      33.0315        286.75         42.11         24.97
      33.1138        285.74         38.10         24.96
      33.1971        277.72         50.12         25.01
      33.2805        287.75         41.10         24.95
      33.3641        278.72         48.12         24.93
      33.4479        289.76         48.12         24.96
      33.5305        292.76         47.12         24.97
      33.6148        285.74         44.11         24.98
      33.6971        289.76         49.12         24.97
      33.7807        286.75         48.12         24.96
      33.8646        284.74         42.11         24.98
      33.9471        288.75         43.11         24.94
      34.0307        290.76         49.12         24.94
      34.1146        285.74         49.12         24.95
      34.1982        281.73         39.10         24.97
      34.2805        278.72         50.12         24.98
      34.3641        184.44        147.32         25.02
      34.4474        166.39        169.36         24.99
      34.5310        163.38        162.35         24.97
      34.6146        169.40        165.35         24.97
      34.6971        167.39        163.35         24.97
      34.7807        173.41        151.32         24.98
      34.8641        153.35        151.32         25.02
      34.9482        166.39        159.34         24.94
      35.0307        167.39        162.35         24.96
      35.1143        163.38        151.32         24.95
      35.1979        163.38        171.36         24.96
      35.2805        165.38        160.34         24.98
      35.3643        162.37        166.35         24.97
      35.4476        167.39        167.36         25.01
      35.5312        168.39        158.34         24.95
      35.6148        164.38        151.32         24.91
      35.6974        169.40        162.35         24.92
      35.7815        169.40        165.35         24.92
      35.8638        161.37        168.36         24.94
      35.9474        155.35        165.35         24.95
      36.0310        167.39        157.34         24.96
      36.1148        167.39        157.34         24.98
      36.1984        156.36        166.35         25.00
      36.2815        168.39        166.35         25.03
      36.3638        159.37        160.34         25.01
      36.4474        157.36        151.32         24.97
      36.5310        165.38        161.34         24.92
      36.6146        157.36        159.34         24.87
      36.6982        167.39        169.36         24.91
      36.7807        169.40        159.34         24.91
      36.8643        165.38        170.36         24.92
      36.9482        159.37        169.36         24.92
      37.0305        163.38        158.34         24.95
      37.1141        169.40        165.35         24.94
      37.1976        172.40        161.34         24.96
      37.2815        164.38        168.36         24.96
      37.3641        163.38        163.35         24.97
      37.4476        163.38        158.34         24.97
      37.5312        165.38        166.35         24.97
      37.6138        162.37        167.36         24.98
      37.6974        164.38        164.35         24.98
      37.7810        169.40        169.36         24.98
      37.8648        163.38        155.33         25.05
      37.9474        166.39        166.35         25.01
      38.0307        164.38        155.33         24.96
      38.1146        170.40        160.34         24.96
      38.1971        155.35        164.35         24.95
      38.2807        157.36        159.34         24.90
      38.3643        164.38        164.35         24.91
      38.4482        170.40        162.35         24.92
      38.5307        159.37        160.34         24.92
      38.6143        173.41        161.34         24.94
      38.6979        164.38        159.34         24.98
      38.7812        163.38        167.36         25.00
      38.8646        178.42        162.35         24.97
      38.9482        163.38        150.32         24.95
      39.0305        159.37        151.32         24.96
      39.1141        169.40        155.33         24.97
      39.1974        166.39        164.35         25.00
      39.2807        165.38        150.32         24.98
      39.3643        167.39        165.35         25.01
      39.4476        168.39        159.34         24.99
      39.5315        167.39        168.36         24.97
      39.6138        156.36        159.34         24.94
      39.6974        161.37        166.35         24.93
      39.7810        164.38        161.34         24.97
      39.8646        162.37        171.36         25.01
      39.9479        176.42        165.35         25.01
      40.0315        158.36        159.34         24.97
      40.1148        168.39        159.34         24.96
      40.1971        169.40        160.34         24.94
      40.2807        165.38        156.33         24.96
      40.3643        168.39        166.35         24.92
      40.4479        169.40        165.35         24.93
      40.5305        169.40        177.38         24.91
      40.6141        161.37        165.35         24.87
      40.6976        170.40        164.35         24.93
      40.7815        158.36        159.34         24.98
      40.8643        161.37        160.34         24.96
      40.9479        169.40        160.34         24.96
      41.0305        168.39        160.34         24.98
      41.1141        161.37        162.35         24.95
      41.1979        155.35        165.35         24.91
      41.2815        163.38        163.35         24.94
      41.3638        166.39        166.35         24.95
      41.4474        166.39        151.32         24.97
      41.5310        159.37        164.35         24.97
      41.6146        162.37        165.35         24.96
      41.6974        176.42        158.34         24.97
      41.7807        166.39        159.34         25.01
      41.8643        166.39        162.35         25.03
      41.9482        164.38        151.32         24.99
      42.0305        173.41        161.34         24.95
      42.1141        172.40        164.35         24.98
      42.1979        170.40        164.35         24.97
      42.2805        169.40        151.32         24.92
      42.3641        164.38        158.34         24.92
      42.4476        165.38        166.35         24.97
      42.5310        167.39        160.34         24.98
      42.6143        160.37        159.34         25.01
      42.6982        169.40        170.36         25.01
      42.7810        170.40        159.34         24.98
      42.8646        164.38        160.34         24.92
      42.9476        169.40        171.36         24.98
      43.0312        165.38        166.35         24.94
      43.1148        167.39        169.36         24.94
      43.1974        170.40        167.36         24.92
      43.2810        172.40        172.37         24.92
      43.3646        175.41        167.36         24.92
      43.4471        172.40        163.35         24.97
      43.5307        170.40        169.36         24.98
      43.6141        163.38        158.34         25.04
      43.6974        162.37        168.36         24.96
      43.7810        157.36        163.35         24.96
      43.8638        164.38        169.36         24.90
      43.9474        172.40        167.36         24.92
      44.0310        157.36        170.36         24.94
      44.1148        160.37        165.35         24.95
      44.1971        157.36        165.35         24.92
      44.2810        164.38        155.33         24.93
      44.3646        161.37        160.34         24.98
      44.4479        163.38        171.36         25.01
      44.5312        163.38        166.35         24.92
      44.6138        165.38        167.36         24.92
      44.6974        160.37        166.35         24.96
      44.7815        165.38        171.36         24.96
      44.8648        169.40        157.34         25.01
      44.9471        156.36        162.35         24.97
      45.0305        159.37        165.35         25.01
      45.1138        166.39        160.34         24.96
      45.1974        172.40        163.35         24.91
      45.2812        168.39        164.35         24.92
      45.3646        154.35        164.35         24.94
      45.4476        165.38        157.34         24.92
      45.5305        203.50        169.36         24.93
      45.6143        266.69        159.34         24.93
      45.6982        275.71        164.35         24.96
      45.7807        285.74        162.35         24.97
      45.8643        518.44        163.35         25.02
      45.9479        522.45        167.36         24.96
      46.0305        536.49        160.34         24.96
      46.1143        519.44        159.34         24.92
      46.1982        536.49        156.33         24.91
      46.2807        529.47        166.35         24.92
      46.3646        531.48        164.35         24.97
      46.4471        524.46        161.34         24.96
      46.5310        537.50        166.35         24.97
      46.6146        536.49        169.36         25.01
      46.6982        536.49        155.33         24.97
      46.7807        537.50        165.35         24.97
      46.8646        530.48        162.35         24.97
      46.9474        532.48        158.34         24.99
      47.0315        533.48        151.32         24.96
      47.1143        536.49        167.36         24.94
      47.1982        541.51        166.35         24.98
      47.2812        523.45        155.33         25.01
      47.3643        536.49        160.34         24.99
      47.4482        531.48        160.34         24.97
      47.5307        528.47        164.35         24.96
      47.6146        530.48        166.35         24.96
      47.6971        531.48        177.38         24.96
      47.7810        536.49        161.34         24.96
      47.8643        531.48        167.36         24.97
      47.9476        537.50        162.35         24.98
      48.0312        523.45        168.36         24.97
      48.1138        541.51        171.36         24.98
      48.1976        529.47        161.34         24.95
      48.2815        524.46        153.33         24.97
      48.3638        536.49        166.35         25.02
      48.4476        534.49        166.35         25.01
      48.5307        518.44        162.35         24.98
      48.6138        531.48        175.37         24.93
      48.6976        537.50        158.34         24.92
      48.7815        532.48        162.35         24.92
      48.8641        531.48        170.36         24.90
      48.9479        535.49        168.36         24.92
      49.0305        536.49        166.35         24.90
      49.1146        534.49        152.33         24.91
      49.1971        533.48        172.37         24.91
      49.2810        527.47        165.35         24.95
      49.3648        531.48        166.35         24.94
      49.4474        534.49        164.35         24.96
      49.5312        529.47        152.33         24.97
      49.6141        529.47        159.34         24.97
      49.6979        535.49        162.35         24.98
      49.7812        528.47        166.35         25.02
      49.8648        532.48        164.35         24.97
      49.9474        526.46        171.36         24.93
      50.0312        522.45        160.34         24.97
      50.1138        532.48        166.35         24.96
      50.1982        533.48        163.35         24.97
      50.2815        525.46        164.35         24.98
      50.3643        529.47        160.34         24.97
      50.4482        534.49        168.36         24.96
      50.5307        531.48        165.35         25.00
      50.6143        534.49        160.34         24.95
      50.6982        530.48        170.36         24.96
      50.7810        531.48        161.34         24.97
      50.8648        532.48        160.34         24.94
      50.9474        531.48        163.35         24.95
      51.0315        535.49        173.37         24.96
      51.1143        529.47        167.36         24.98
      51.1982        538.50        168.36         24.97
      51.2805        531.48        160.34         25.02
      51.3643        530.48        162.35         25.01
      51.4482        523.45        159.34         24.97
      51.5307        525.46        160.34         24.94
      51.6146        531.48        165.35         24.92
      51.6974        532.48        162.35         24.96
      51.7812        533.48        167.36         24.95
      51.8638        536.49        156.33         24.93
      51.9476        528.47        153.33         24.92
      52.0312        531.48        163.35         25.02
      52.1148        525.46        168.36         24.97
      52.1974        525.46        161.34         24.95
      52.2812        522.45        171.36         24.97
      52.3641        529.47        165.35         24.97
      52.4474        527.47        166.35         24.98
      52.5312        519.44        183.39         25.01
      52.6148        346.93        338.70         24.97
      52.6974        342.91        343.71         24.94
      52.7815        343.92        355.73         24.94
      52.8641        345.92        345.71         24.91
      52.9479        345.92        334.69         24.98
      53.0305        342.91        346.71         24.99
      53.1156        354.95        353.73         24.98
      53.1976        340.91        346.71         24.96
      53.2815        340.91        339.70         24.97
      53.3638        338.90        353.73         25.00
      53.4476        345.92        345.71         25.00
      53.5312        355.95        347.72         24.98
      53.6143        349.94        349.72         25.01
      53.6974        344.92        340.70         24.98
      53.7812        334.89        346.71         24.97
      53.8638        351.94        349.72         24.96
      53.9476        349.94        351.72         24.94
      54.0312        343.92        342.71         25.02
      54.1148        338.90        347.72         24.98
      54.1971        343.92        350.72         25.01
      54.2815        346.93        336.69         24.97
      54.3641        342.91        346.71         24.97
      54.4479        348.93        354.73         24.92
      54.5305        339.91        337.70         24.89
      54.6143        351.94        335.69         24.94
      54.6982        344.92        351.72         24.97
      54.7807        351.94        349.72         25.00
      54.8641        344.92        341.70         24.97
      54.9482        345.92        349.72         24.96
      55.0315        352.94        342.71         24.99
      55.1141        338.90        342.71         24.97
      55.1974        345.92        346.71         24.99
      55.2810        344.92        342.71         24.97
      55.3641        351.94        346.71         25.01
      55.4471        338.90        347.72         24.98
      55.5310        345.92        344.71         24.97
      55.6138        348.93        346.71         24.94
      55.6976        344.92        342.71         24.93
      55.7805        352.94        346.71         24.99
      55.8643        342.91        343.71         24.97
      55.9479        345.92        347.72         25.01
      56.0315        346.93        349.72         24.96
      56.1141        338.90        356.73         24.89
      56.1979        347.93        340.70         24.91
      56.2805        351.94        346.71         24.94
      56.3643        348.93        352.73         24.94
      56.4482        345.92        353.73         24.94
      56.5307        344.92        350.72         24.97
      56.6138        354.95        344.71         25.01
      56.6974        352.94        341.70         24.98
      56.7812        362.97        341.70         24.97
      56.8638        342.91        342.71         24.98
      56.9476        335.89        343.71         24.97
      57.0312        348.93        346.71         25.01
      57.1148        343.92        345.71         24.98
      57.1974        345.92        347.72         24.98
      57.2812        341.91        347.72         24.95
      57.3638        344.92        343.71         24.97
      57.4487        345.92        338.70         25.00
      57.5310        343.92        346.71         24.99
      57.6143        342.91        346.71         24.97
      57.6984        345.92        352.73         24.94
      57.7810        339.91        346.71         24.97
      57.8648        341.91        338.70         24.99
      57.9479        341.91        353.73         25.01
      58.0305        341.91        341.70         25.01
      58.1141        351.94        343.71         24.97
      58.1979        338.90        342.71         24.93
      58.2805        339.91        347.72         24.96
      58.3643        345.92        342.71         24.93
      58.4482        341.91        349.72         24.93
      58.5307        344.92        338.70         24.97
      58.6146        340.91        348.72         25.01
      58.6974        354.95        351.72         24.96
      58.7812        343.92        348.72         24.97
      58.8648        343.92        353.73         25.00
      58.9479        343.92        338.70         24.98
      59.0305        351.94        352.73         24.94
      59.1143        350.94        346.71         24.93
      59.1971        349.94        356.73         24.96
      59.2810        341.91        345.71         24.97
      59.3648        345.92        348.72         24.97
      59.4471        343.92        355.73         25.01
      59.5312        344.92        349.72         25.01
      59.6138        340.91        349.72         25.03
      59.6976        349.94        350.72         25.01
      59.7812        346.93        347.72         24.94
      59.8638        345.92        341.70         24.87
      59.9479        339.91        347.72         24.85
      60.0305        345.92        347.72         24.83
      60.1143        349.94        349.72         24.84
      60.1982        346.93        353.73         24.88
      60.2807        344.92        345.71         24.90
      60.3648        345.92        342.71         24.90
      60.4474        345.92        356.73         24.92
      60.5312        348.93        343.71         24.95
      60.6138        344.92        342.71         24.96
      60.6976        345.92        349.72         24.96
      60.7805        336.90        354.73         24.98
      60.8643        345.92        347.72         24.96
      60.9482        342.91        351.72         24.97
      61.0307        336.90        346.71         25.01
      61.1146        341.91        351.72         25.00
      61.1982        339.91        346.71         24.99
      61.2807        344.92        351.72         24.94
      61.3646        344.92        335.69         24.94
      61.4471        346.93        345.71         24.96
      61.5310        351.94        353.73         24.96
      61.6148        350.94        345.71         24.94
      61.6974        338.90        347.72         24.91
      61.7812        340.91        351.72         24.96
      61.8638        339.91        346.71         24.98
      61.9476        349.94        343.71         24.97
      62.0315        343.92        348.72         24.98
      62.1141        346.93        341.70         24.97
      62.1982        351.94        342.71         25.02
      62.2807        344.92        356.73         24.97
      62.3646        344.92        344.71         24.97
      62.4471        348.93        344.71         24.96
      62.5312        340.91        353.73         24.94
      62.6138        346.93        342.71         24.94
      62.6976        345.92        334.69         24.95
      62.7815        344.92        342.71         24.97
      62.8646        346.93        357.74         25.02
      62.9482        340.91        353.73         24.99
      63.0312        348.93        346.71         25.01
      63.1148        352.94        344.71         24.97
      63.1974        348.93        353.73         24.96
      63.2812        345.92        350.72         24.92
      63.3641        351.94        347.72         24.95
      63.4479        352.94        344.71         24.93
      63.5305        339.91        350.72         24.94
      63.6143        345.92        342.71         24.93
      63.6982        344.92        345.71         24.96
      63.7807        335.89        348.72         24.97
      63.8643        352.94        355.73         25.02
      63.9487        353.95        348.72         25.01
      64.0305        347.93        350.72         24.99
      64.1143        350.94        345.71         25.00
      64.1974        343.92        351.72         24.97
      64.2812        350.94        347.72         24.93
      64.3638        342.91        356.73         24.94
      64.4476        342.91        357.74         24.90
      64.5315        343.92        353.73         24.92
